# Time [sec]	CtrlParams2.Idq_ref_A.value[1]	CtrlParams2.Idq_in_A.value[1]	CtrlParams2.Vdq_out_V.value[1]	CtrlParams2.VqErrInt	CtrlParams2.SpeedFed_Hz	gEscParams2.InPWMCtrl.CanReciWidthus
174.532	-455.019	-455.019	-1.68751	0.667468	0.667468	1300
174.547	-1.93926	-1.93926	-1.93926	-1.93926	-1.93926	-1.93926
174.563	-1.93926	-1.71239	-1.71239	-1.71239	-474.751	-474.751
174.579	-474.751	-1.94482	-1.68569	0.671685	-486.596	1300
174.594	-2.24112	-2.24112	-1.68718	-1.68718	-1.68718	-1.68718
174.61	-1.68718	-1.68718	-1.68718	0.669144	-484.914	-484.914
174.625	-484.914	-1.95355	-1.95355	-1.95355	-1.95355	-1.95355
174.641	-1.96907	-1.96907	-1.96907	-1.96907	-1.96907	1300
174.657	1300	1300	1300	0.670291	-445.924	-445.924
174.672	-2.25578	-1.99981	-1.99981	-1.99981	-478.132	1300
174.688	-1.84104	-1.84104	-1.70867	-1.70867	-487.995	-487.995
174.704	-2.10841	-1.76184	-1.76184	-1.76184	-1.76184	-1.76184
174.719	-1.76184	-1.53951	-1.53951	-1.53951	-464.035	-464.035
174.735	-464.035	-464.035	-464.035	0.665371	0.665371	0.665371
174.75	0.665371	0.665371	0.665371	0.665371	0.665371	0.665371
174.766	-1.23086	-2.08724	-1.74447	0.67685	-467.474	-467.474
174.782	-2.0199	-1.74825	-1.74825	-1.74825	-1.74825	1300
174.797	1300	1300	-1.74471	0.677056	0.677056	0.677056
174.813	0.677056	-1.92383	-1.74785	-1.74785	-1.74785	-1.74785
174.829	-1.74785	-1.74785	-1.75904	-1.75904	-1.75904	-1.75904
174.844	-1.75904	-1.57277	-1.57277	0.659023	0.659023	0.659023
174.86	0.659023	-2.00231	-2.00231	-2.00231	-2.00231	1300
174.875	1300	1300	1300	1300	1300	1300
174.891	1300	1300	-1.73843	-1.73843	-1.73843	-1.73843
174.907	-1.73843	-1.6825	-1.6825	-1.6825	-1.6825	-1.6825
174.922	-2.34952	-1.90958	-1.68559	0.664838	-466.524	-466.524
174.938	-466.524	-1.87799	-1.74588	-1.74588	-447.129	-447.129
174.954	-1.91818	-2.16647	-1.69808	-1.69808	-1.69808	-1.69808
174.969	-1.69808	-1.66668	-1.66668	-1.66668	-1.66668	-1.66668
174.985	-1.66668	-1.54412	-1.54412	-1.54412	-1.54412	-1.54412
175	-1.54412	-1.62865	-1.62865	0.667806	0.667806	1300
175.016	-1.84796	-1.84796	-1.84796	-1.84796	-444.925	1300
175.032	0	0	-1.73084	0.675831	0.675831	0.675831
175.047	0.675831	0.675831	0.675831	0.678685	-449.464	-449.464
175.063	-449.464	-449.464	-449.464	-449.464	-476.423	-476.423
175.079	-1.44815	-1.44815	-1.74898	0.679246	0.679246	1300
175.094	1300	1300	-1.68546	-1.68546	-489.646	-489.646
175.11	-489.646	-489.646	-489.646	-489.646	-473.85	-473.85
175.125	-473.85	-473.85	-473.85	-473.85	-473.85	-473.85
