00:00:22:727],0,0,0,0,0,0,0,0,0,0,-11,6,44,1,0,-1
00:00:22:926],0,0,0,0,0,0,0,0,0,0,-5,4,37,4,0,-2
00:00:23:127],0,0,0,0,0,0,0,0,0,0,20,0,44,0,0,-2
00:00:23:327],0,0,0,0,0,0,0,0,0,0,0,3,10,4,0,-2
00:00:23:527],0,0,0,0,0,0,0,0,0,0,-6,-1,32,0,0,0
00:00:23:727],0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,-2
00:00:23:927],0,0,0,0,0,0,0,0,0,0,-16,2,26,3,0,0
00:00:24:127],0,0,0,0,0,0,0,0,0,0,-2,-3,19,2,0,0
00:00:24:330],0,0,0,0,0,0,0,0,0,0,-2,-1,3,0,0,0
00:00:24:530],0,0,0,0,0,0,0,0,0,0,-43,2,22,2,0,-2
00:00:24:730],0,0,0,0,0,0,0,0,0,0,-28,-1,19,3,0,0
00:00:24:931],0,0,0,0,0,0,0,0,0,0,-31,2,14,2,0,-1
00:00:25:130],0,0,0,0,0,0,0,0,0,0,2,-3,20,0,0,-2
00:00:25:330],0,0,0,0,0,0,0,0,0,0,-19,-1,24,0,0,0
00:00:25:531],0,0,0,0,0,0,0,0,0,0,-23,0,9,4,0,-2
00:00:25:731],0,0,0,0,0,0,0,0,0,0,25,-1,54,2,0,-4
00:00:25:931],0,0,0,0,0,0,0,0,0,0,-16,0,-4,1,0,-2
00:00:26:131],0,0,0,0,0,0,0,0,0,0,-7,12,24,0,0,-4
00:00:26:331],0,0,0,0,0,0,0,0,0,0,-1,0,8,2,0,0
00:00:26:531],0,0,0,0,0,0,0,0,0,0,-8,27,25,0,0,-1
00:00:26:731],0,0,0,0,0,0,0,0,0,0,-10,3,25,0,0,-1
00:00:26:930],0,0,0,0,0,0,0,0,0,0,4,0,13,0,0,-2
00:00:27:131],0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,-2
00:00:27:331],0,0,0,0,0,0,0,0,0,0,-11,1,35,0,0,-2
00:00:27:531],0,0,0,0,0,0,0,0,0,0,-3,-1,41,2,0,-2
00:00:27:931],0,0,0,0,0,0,0,0,0,0,15,1,24,2,0,-3
00:00:28:131],0,0,0,0,0,0,0,0,0,0,-10,2,6,1,0,-1
00:00:28:331],0,0,0,0,0,0,0,0,0,0,-13,21,31,0,0,-3
00:00:28:531],0,0,0,0,0,0,0,0,0,0,-18,3,29,0,0,-3
00:00:28:731],0,0,0,0,0,0,0,0,0,0,6,6,36,0,0,-1
00:00:28:930],0,0,0,0,0,0,0,0,0,0,-39,0,44,0,0,-5
00:00:29:131],0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0
00:00:29:330],0,0,0,0,0,0,0,0,0,0,-15,-1,50,0,0,0
00:00:29:530],0,0,0,0,0,0,0,0,0,0,-8,0,42,3,0,-2
00:00:29:730],0,0,0,0,0,0,0,0,0,0,-16,0,35,3,0,-1
00:00:29:930],0,0,0,0,0,0,0,0,0,0,-18,-2,19,0,0,-3
00:00:30:131],0,0,0,0,0,0,0,0,0,0,7,1,46,0,0,-1
00:00:30:330],0,0,0,0,0,0,0,0,0,0,0,-4,18,1,0,-2
00:00:30:531],0,0,0,0,0,0,0,0,0,0,-11,0,23,1,0,-2
00:00:30:731],0,0,0,0,0,0,0,0,0,0,-43,-3,19,4,0,-2
00:00:30:931],0,0,0,0,0,0,0,0,0,0,-14,-3,-1,0,0,-2
00:00:31:131],0,0,0,0,0,0,0,0,0,0,-1,-1,14,0,0,-2
00:00:31:331],0,0,0,0,0,0,0,0,0,0,-8,-5,32,2,0,-2
00:00:31:530],0,0,0,0,0,0,0,0,0,0,-21,1,36,2,0,0
00:00:31:731],0,0,0,0,0,0,0,0,0,0,-63,-1,35,4,0,-1
00:00:31:931],0,0,0,0,0,0,0,0,0,0,-21,0,38,1,0,0
00:00:32:131],0,0,0,0,0,0,0,0,0,0,-36,0,37,3,0,0
00:00:32:330],0,0,0,0,0,0,0,0,0,0,-4,0,7,0,0,-2
00:00:32:530],0,0,0,0,0,0,0,0,0,0,-1,-4,-1,1,0,0
00:00:32:731],0,0,0,0,0,0,0,0,0,0,-32,-5,30,2,0,0
00:00:32:931],0,0,0,0,0,0,0,0,0,0,-21,11,16,0,-1,0
