I0,I1,I2,I3,I4
-0.042659,0.915799,-0.128039,-0.007940,0.073147
-0.042659,0.915799,-0.128039,0.063753,-0.170756
-0.042659,0.915799,-0.128039,0.099290,-0.353683
-0.042659,0.915799,-0.128039,0.021126,-0.201244
-0.042659,0.915799,-0.128039,0.021126,-0.231731
-0.042659,0.915799,-0.128039,0.021126,-0.048805
-0.042659,0.915799,-0.128039,-0.080330,0.378025
-0.042659,0.915799,-0.128039,-0.117882,0.286562
-0.042659,0.915799,-0.128039,-0.000236,0.560952
-0.042659,0.915799,-0.128039,-0.002729,0.164610
-0.042659,0.915799,-0.128039,0.035073,-0.414658
-0.042659,0.915799,-0.128039,0.013835,-0.292707
-0.042659,0.915799,-0.128039,0.042450,-0.353683
-0.042659,0.915799,-0.128039,-0.052398,0.042659
-0.042659,0.915799,-0.128039,0.040513,0.378025
-0.042659,0.915799,-0.128039,-0.007592,0.347537
-0.042659,0.915799,-0.128039,0.085101,0.347537
-0.042659,0.915799,-0.128039,0.011468,0.012171
-0.042650,0.915807,-0.128094,0.025948,-0.079301
-0.042650,0.915807,-0.128094,-0.103170,-0.048814
-0.042650,0.915807,-0.128094,0.070856,0.134113
-0.042650,0.915807,-0.128094,-0.014992,0.408504
-0.042650,0.915807,-0.128094,-0.014992,0.103625
-0.042650,0.915807,-0.128094,0.025948,-0.079301
-0.042650,0.915807,-0.128094,-0.000557,-0.384180
-0.042650,0.915807,-0.128094,0.063753,-0.292716
-0.042650,0.915807,-0.128094,0.047617,0.256065
-0.042650,0.915807,-0.128094,-0.014992,0.560943
-0.042650,0.915807,-0.128094,0.021126,0.164601
-0.042650,0.915807,-0.128094,0.020897,-0.323204
-0.042650,0.915807,-0.128094,-0.002394,-0.445155
-0.042650,0.915807,-0.128094,0.047617,0.012162
-0.042650,0.915807,-0.128094,-0.029486,0.103625
-0.042650,0.915807,-0.128094,0.033427,0.438991
-0.042650,0.915807,-0.128094,0.054819,-0.048814
-0.042650,0.915807,-0.128094,-0.058067,0.103625
-0.042650,0.915807,-0.128094,-0.074575,0.317040
-0.042650,0.915807,-0.128094,-0.022024,0.195089
-0.042642,0.915824,-0.128149,0.035240,-0.018333
-0.042642,0.915824,-0.128149,-0.029486,-0.384187
-0.042642,0.915824,-0.128149,-0.072663,-0.262236
-0.042642,0.915824,-0.128149,-0.029035,-0.231748
-0.042642,0.915824,-0.128149,-0.050513,0.164594
-0.042642,0.915824,-0.128149,-0.080330,-0.018333
-0.042642,0.915824,-0.128149,-0.072663,-0.018333
-0.042642,0.915824,-0.128149,0.113245,0.073130
-0.042642,0.915824,-0.128149,-0.031364,0.195082
-0.042642,0.915824,-0.128149,-0.080330,0.317033
-0.042642,0.915824,-0.128149,0.013835,0.408496
-0.042642,0.915824,-0.128149,-0.037009,-0.231748
-0.042642,0.915824,-0.128149,0.013575,0.012155
-0.042642,0.915824,-0.128149,0.018838,0.103618
-0.042642,0.915824,-0.128149,-0.007940,-0.262236
-0.042642,0.915824,-0.128149,0.005259,-0.170772
-0.042642,0.915824,-0.128149,-0.023885,-0.262236
-0.042642,0.915824,-0.128149,-0.045400,-0.140285
-0.042642,0.915824,-0.128149,0.004662,0.317033
-0.042642,0.915824,-0.128149,0.049433,0.012155
-0.042626,0.915834,-0.128204,-0.002729,0.347505
-0.042626,0.915834,-0.128204,-0.007592,0.103602
-0.042626,0.915834,-0.128204,-0.038895,0.317017
-0.042626,0.915834,-0.128204,-0.043006,0.195066
-0.042626,0.915834,-0.128204,-0.015388,0.073114
-0.042626,0.915834,-0.128204,-0.052398,0.286529
-0.042626,0.915834,-0.128204,-0.002394,0.012139
-0.042626,0.915834,-0.128204,0.021126,-0.231764
-0.042626,0.915834,-0.128204,-0.080863,-0.140300
-0.042626,0.915834,-0.128204,-0.002729,-0.048837
-0.042626,0.915834,-0.128204,-0.031364,-0.109813
-0.042626,0.915834,-0.128204,0.012011,-0.231764
-0.042626,0.915834,-0.128204,0.033256,-0.353715
-0.042626,0.915834,-0.128204,-0.065047,0.164578
-0.042626,0.915834,-0.128204,0.090394,-0.018349
-0.042626,0.915834,-0.128204,0.040513,0.408480
-0.042626,0.915834,-0.128204,0.097535,0.164578
-0.042626,0.915834,-0.128204,-0.052954,0.042626
-0.042626,0.915834,-0.128204,0.097535,0.134090
-0.042626,0.915834,-0.128204,0.047617,0.256041
-0.042602,0.915838,-0.128259,-0.038895,0.469431
-0.042602,0.915838,-0.128259,-0.043006,0.073090
-0.042602,0.915838,-0.128259,0.033256,-0.109837
-0.042602,0.915838,-0.128259,-0.110099,-0.231788
-0.042602,0.915838,-0.128259,0.012011,-0.292764
-0.042602,0.915838,-0.128259,-0.017256,0.012114
-0.042602,0.915838,-0.128259,-0.015388,0.012114
-0.042602,0.915838,-0.128259,-0.037009,-0.201301
-0.042602,0.915838,-0.128259,-0.023885,-0.018374
-0.042602,0.915838,-0.128259,-0.072014,0.225529
-0.042602,0.915838,-0.128259,0.090394,0.012114
-0.042602,0.915838,-0.128259,-0.045400,0.073090
-0.042602,0.915838,-0.128259,-0.037894,0.042602
-0.042602,0.915838,-0.128259,-0.002394,0.103578
-0.042602,0.915838,-0.128259,-0.080330,-0.018374
-0.042602,0.915838,-0.128259,0.013835,0.256017
-0.042602,0.915838,-0.128259,0.056619,-0.140325
-0.042602,0.915838,-0.128259,-0.117882,-0.048861
-0.042602,0.915838,-0.128259,-0.009436,0.012114
-0.042602,0.915838,-0.128259,0.047617,0.042602
-0.042550,0.915847,-0.128314,-0.161278,0.073038
-0.042550,0.915847,-0.128314,-0.031364,0.255964
-0.042550,0.915847,-0.128314,-0.066946,0.377916
-0.042550,0.915847,-0.128314,-0.030907,0.012062
-0.042550,0.915847,-0.128314,-0.007592,-0.048914
-0.042550,0.915847,-0.128314,0.090486,-0.109889
-0.042550,0.915847,-0.128314,-0.007240,-0.170865
-0.042550,0.915847,-0.128314,-0.009436,0.255964
-0.042550,0.915847,-0.128314,0.033427,0.408404
-0.042550,0.915847,-0.128314,-0.017256,0.164501
-0.042550,0.915847,-0.128314,0.040377,0.316940
-0.042550,0.915847,-0.128314,-0.002729,-0.414768
