I0,I1,I2
0.007324,0.122314,1.004639
0.007568,0.045166,0.942627
-0.051270,0.119141,0.994385
-0.000244,0.163574,1.043457
0.010010,0.190186,1.027344
-0.036865,0.197021,1.030029
-0.015381,0.116699,1.018311
-0.023193,0.202393,1.039307
-0.009521,0.207031,1.032471
-0.021973,0.107178,0.983887
-0.025391,0.131348,0.992188
0.024658,0.207275,1.011475
0.080322,0.079346,0.974121
-0.083496,0.063965,0.963867
0.015137,0.124756,0.975342
-0.023438,0.203369,1.058594
-0.010498,0.073486,1.030029
0.033447,0.109619,1.021729
0.005615,0.139404,0.996094
-0.083008,0.136230,1.038574
0.054199,0.049072,1.017578
0.021729,0.108398,1.034912
-0.118164,0.122314,1.026855
0.027832,0.041748,0.972656
-0.008301,0.079102,0.988037
-0.076416,0.015381,0.983887
-0.137207,-0.008057,0.949219
-0.011475,0.087646,0.956543
-0.041016,0.035400,0.916016
-0.057373,0.010010,1.005859
-0.049316,0.059814,0.966064
0.033203,0.116455,0.946533
-0.028320,0.092773,1.010986
-0.032959,0.006836,0.966309
-0.015137,0.128174,0.974121
-0.003906,0.074219,0.953125
-0.040039,0.032471,0.967529
-0.040771,0.073730,0.954346
-0.035889,0.102295,0.938232
-0.004883,0.061768,0.965576
-0.075439,0.073242,0.953369
0.062500,0.126709,0.993896
0.029541,0.136719,0.981445
-0.022949,0.108643,0.988770
-0.064941,0.057373,0.985107
0.008301,0.026367,0.977295
-0.042480,0.123535,0.984863
-0.000488,0.073242,0.984863
-0.012695,0.050537,1.022461
0.000244,0.062012,1.009766
-0.034668,0.084717,0.984375
-0.046875,0.034668,0.977051
-0.060059,-0.012451,0.974121
0.017822,0.008545,0.996338
-0.074219,0.049805,0.975098
-0.086182,-0.007080,0.952393
-0.059326,0.037842,1.001953
0.021729,0.005371,0.965088
-0.070557,0.050781,0.959717
-0.021240,0.032471,0.970703
-0.025879,0.030518,0.964355
-0.014648,0.069580,0.988525
-0.052734,0.099609,1.001709
0.002686,0.100830,0.995850
0.020264,0.122559,1.022949
-0.001221,0.074219,0.976807
-0.034912,0.036621,0.914551
0.053467,0.119873,0.998291
0.016357,0.145020,1.016602
-0.039307,0.083496,0.980225
0.045898,0.082031,0.939941
0.032715,0.148438,1.006836
-0.061523,0.095215,0.990967
-0.001953,0.092285,0.984863
0.057373,0.100586,0.964600
-0.071289,0.104492,0.981689
0.007568,0.076904,0.995850
0.017334,0.086914,0.998291
-0.065186,0.052490,0.981689
-0.028809,0.056152,0.980957
-0.000732,0.142334,1.047607
-0.040771,0.051514,1.003418
-0.031494,0.047363,1.000732
-0.013672,0.070801,1.002686
-0.046875,0.115723,1.032471
0.028320,0.096191,1.050049
0.000977,0.151611,1.080322
-0.047852,0.079834,0.985840
-0.054932,0.060791,0.984375
-0.017090,0.143311,1.057129
0.001465,0.070557,0.954102
-0.041748,0.123535,1.002441
-0.058594,0.149658,1.024170
0.031982,0.123535,1.024414
-0.008545,0.127930,0.964355
-0.007080,0.107666,0.963135
-0.043945,0.169434,1.022949
0.008057,0.092773,0.981201
0.051270,0.149414,0.987549
-0.029053,0.118164,0.941162
-0.018311,0.068848,0.968994
0.029785,0.139404,1.028076
0.037842,0.133301,0.997314
-0.083740,0.088867,0.937744
0.012451,0.043457,0.956543
0.008057,0.106201,1.009277
0.044434,0.103760,1.006348
-0.081787,0.123291,0.995117
-0.033936,0.116699,1.056152
0.005127,0.127441,1.039795
0.023193,0.101318,1.010010
-0.079102,0.069824,0.976807
-0.100830,0.049561,1.011230
0.002197,0.081787,1.044189
0.020996,0.125244,1.024658
-0.098145,0.107178,0.977051
-0.007324,0.076172,0.982910
-0.013672,0.099365,1.035156
-0.048096,0.124268,1.016846
0.012451,0.127686,0.960205
-0.055908,0.142822,0.976318
0.014648,0.106689,1.018799
0.015625,0.150146,0.995850
-0.072754,0.154297,0.973633
-0.084961,0.086426,0.904541
0.015625,0.110840,0.981689
-0.029541,0.161377,1.028564
-0.029053,0.159424,1.003662
-0.007813,0.134277,0.969727
-0.020508,0.114258,1.012695
-0.031250,0.079346,0.991943
0.000977,0.086670,0.998779
-0.042725,0.100342,0.987305
-0.101318,0.053711,0.985107
0.007080,0.053955,1.038574
-0.005127,0.114014,1.020752
-0.031982,0.105225,0.994141
0.018311,0.070313,1.036865
0.012451,0.097900,1.056885
-0.033691,0.195801,1.065186
-0.033447,0.118896,1.020752
0.014160,0.073730,1.013184
-0.040283,0.069336,0.997070
-0.039551,0.106445,0.982910
0.028076,0.162109,1.039307
-0.005859,0.088867,0.985840
-0.012451,0.072266,0.983887
0.034180,0.148682,0.988770
0.011230,0.121582,0.968506
-0.032471,0.071533,0.967041
0.009277,0.128174,1.000244
0.022949,0.135742,0.973877
-0.072998,0.140137,0.974365
-0.038818,0.092529,0.971191
-0.027832,0.137207,0.993164
-0.022705,0.192627,1.028320
-0.057373,0.144043,1.009766
0.025879,-0.018799,0.906250
-0.084961,0.021484,0.917480
-0.067139,0.075195,0.970703
-0.024658,0.096191,0.995361
-0.010010,0.052979,0.995117
-0.043457,0.060791,1.011963
0.038818,0.152832,1.059082
0.027344,0.088379,1.005859
-0.055176,0.067627,1.052734
-0.038818,0.053467,1.013672
-0.017090,0.090088,0.998291
-0.075195,0.110107,1.015869
0.003906,0.103027,1.056396
0.028320,0.062988,0.982910
-0.089111,0.073975,0.990479
-0.042725,0.048828,0.978516
0.017822,0.150635,1.022949
-0.030029,0.126221,1.001953
0.006836,0.102295,1.000977
-0.010010,0.125000,1.014648
-0.040771,0.112793,0.996826
0.008057,0.010986,0.916992
0.004150,0.065186,0.940430
0.019775,0.141113,1.014160
-0.039307,0.080078,0.966797
-0.018799,0.050049,0.947998
-0.002197,0.026367,0.914551
-0.124512,0.074463,0.973633
-0.018066,0.011719,0.965576
-0.005615,0.097656,0.989014
-0.077393,0.060791,0.965576
-0.121582,-0.005615,0.979736
-0.033936,-0.065430,0.938232
-0.150879,0.071777,0.979248
0.026367,0.081055,1.013916
0.024414,0.046631,1.007324
-0.025635,0.027100,1.018066
-0.092529,0.089600,1.022217
0.032715,0.118164,1.049805
0.040283,0.140625,1.051758
0.000244,0.092041,1.018555
-0.060303,0.078125,0.991455
-0.029053,0.145508,1.041016
0.050049,0.084229,0.987061
0.005127,0.038330,0.944824
-0.105713,0.106689,0.973145
-0.025879,0.131348,1.020752
0.106934,0.085693,0.978271
-0.031982,0.086670,0.954102
-0.072266,0.077393,0.983887
0.031494,0.115234,1.006836
0.078613,0.072021,0.988281
-0.080811,0.038818,0.928467
-0.051514,0.052246,0.958252
-0.015137,0.090088,0.990723
0.004639,0.035889,0.972412
-0.051025,0.071533,0.969971
0.003906,0.119385,1.020752
-0.011963,0.084961,0.997803
-0.021729,0.069336,0.995361
-0.014893,0.103760,1.013672
-0.028809,0.030518,0.937012
