I0,I1,I2
-0.036133,0.148926,1.010254
-0.053223,0.132324,1.043701
-0.032471,0.122803,1.030273
-0.083740,0.065918,0.942139
-0.110107,0.110107,0.991943
-0.078125,0.076172,0.998535
-0.038086,0.173584,1.037842
-0.001709,0.151123,0.986816
-0.031006,0.126221,0.966309
-0.077393,0.066650,0.971924
-0.097900,0.052246,0.987061
-0.023438,0.078369,0.997559
0.013184,0.162598,1.020264
-0.004639,0.167725,1.000977
-0.027100,0.138672,0.969482
-0.065430,0.058105,0.965332
-0.076416,0.035645,1.002686
-0.045654,0.027100,0.987305
-0.050781,0.057861,0.972168
-0.017090,0.026611,0.923584
-0.065186,0.061768,0.978027
-0.088379,0.036621,1.001221
-0.056152,0.089844,1.049805
0.030273,0.095459,0.994385
-0.026123,0.085449,0.963623
-0.064941,0.088379,1.021973
-0.047119,0.051270,1.021240
-0.018066,0.048584,0.995850
-0.037109,0.104492,0.990234
0.007813,0.137939,1.002441
-0.000244,0.104980,0.975830
-0.028809,0.129395,1.012695
-0.031250,0.113525,1.008789
-0.030518,0.052979,0.936279
-0.076660,0.076904,0.944092
-0.070557,0.039551,0.951172
-0.026123,0.073242,0.962158
-0.032471,0.083252,0.922607
-0.025391,0.125732,0.990234
0.031250,0.133057,1.023682
-0.031982,0.082031,0.966797
-0.007813,0.065430,0.978271
-0.108398,0.061279,0.976318
-0.106934,-0.003662,0.965820
-0.031006,0.092285,1.052490
0.014648,0.096924,1.002441
-0.041016,0.099609,0.981201
-0.060547,0.065674,1.022461
-0.056641,0.054199,1.050293
-0.059570,0.040283,1.000488
-0.072754,0.057373,0.980957
-0.016113,0.069092,1.002441
-0.001953,-0.007813,0.911621
-0.107422,0.071777,0.952148
-0.056396,0.039551,0.982178
0.008545,0.037109,0.982178
0.004883,0.125732,0.988525
0.008057,0.116211,0.964844
0.004395,0.059326,0.954590
-0.067139,0.009521,0.941895
-0.020264,-0.032715,0.908936
-0.022461,0.087402,0.961426
-0.010986,0.112061,0.974854
0.045410,0.058350,0.967529
-0.050049,0.043701,0.917969
-0.073730,0.045898,0.973877
-0.000732,0.041992,1.011230
-0.035645,0.045410,0.966064
-0.065674,0.068115,0.937988
-0.081299,0.101074,1.026123
-0.040283,-0.004639,1.003662
-0.051514,0.110596,1.039063
0.016602,0.081299,0.959961
-0.046875,0.117676,1.003174
-0.070801,0.060791,0.999512
-0.062500,0.067139,1.031494
-0.062988,0.123779,1.029541
0.006348,0.152832,1.029053
-0.047607,0.106689,0.998291
-0.114014,0.116943,1.027832
-0.064209,0.070557,0.997803
0.014893,0.079346,1.003418
0.001709,0.175293,1.024170
-0.063477,0.177490,0.988281
-0.022949,0.185791,1.057617
0.001709,0.055908,0.947754
-0.092041,0.156738,0.983154
-0.067871,0.114258,0.988525
-0.009766,0.073730,0.999756
-0.017090,0.096924,0.959473
-0.101563,0.103027,0.934814
-0.096680,0.146240,1.037109
0.000000,0.110107,1.050781
0.002441,0.219971,1.064453
-0.029785,0.205811,1.034424
-0.026367,0.104492,1.019287
-0.061035,0.134033,1.077393
-0.062988,0.063477,1.007324
-0.023682,0.083740,0.998291
-0.098877,0.142822,1.036133
-0.023926,0.099365,1.032471
0.030762,0.095947,0.999512
-0.079590,0.114990,0.957031
-0.076172,-0.001221,0.931885
0.008301,0.046387,1.003418
-0.041504,0.121582,0.991455
-0.021240,0.158936,0.990967
0.030518,0.109619,0.989014
0.012695,0.107422,0.993896
-0.045166,0.126709,0.983887
-0.004639,0.132813,1.007080
0.059082,0.090820,0.984619
-0.074463,0.076172,0.944824
-0.079102,0.068359,0.976807
-0.071045,0.079590,1.017334
-0.050537,0.033203,0.955811
-0.070068,0.015869,0.933105
-0.052002,0.072510,0.986328
-0.008057,0.080811,0.991455
-0.060791,0.095459,0.970215
-0.111816,0.060303,0.975342
-0.022705,0.030273,1.001953
-0.014160,0.138916,1.032715
-0.032227,0.157471,0.996582
-0.078125,0.061768,0.963623
-0.063232,0.025635,0.987793
0.008057,0.052734,0.979004
-0.056396,0.150391,1.006836
-0.063232,0.135498,1.035889
0.057617,0.101807,1.036621
0.027588,0.182129,1.020752
-0.074463,0.138428,0.971924
-0.074463,0.022705,0.966553
-0.038086,-0.006348,0.957031
-0.036621,0.069336,0.953369
-0.053223,0.114990,0.968506
-0.048340,0.080078,0.977539
-0.005127,0.085693,0.997070
-0.053223,0.097900,0.955322
-0.033447,0.105225,0.966309
-0.032715,0.048096,0.951904
0.017090,0.054688,0.967285
-0.029297,0.139160,1.007080
-0.047607,0.141113,1.010010
-0.050781,0.149170,1.039551
-0.027588,-0.009033,0.919922
-0.093262,0.094238,0.991455
0.020020,0.086914,0.993896
0.014160,0.145508,1.018555
-0.053711,0.113525,0.977051
-0.042236,0.115967,1.022461
-0.013184,0.083008,1.003662
-0.058350,0.130615,0.993652
-0.050049,0.165527,1.031250
0.033203,0.129639,1.017334
-0.025635,0.135742,0.989990
-0.057373,0.149902,1.016357
-0.008301,0.133057,1.021484
0.017822,0.119873,0.996582
-0.061279,0.160645,0.971680
-0.059570,0.096191,0.976807
